Serial Number,Year,Title,Baseline Primary Class,Baseline Secondary Class,Baseline Tertiary Class,Baseline Top1_score,Baseline Top2_score,Baseline margin_12,BART Primary Class,BART Primary Desc,BART Secondary Class,BART Secondary Desc,BART Tertiary Class,BART Tertiary Desc,BART Reasoning,BART Top1_score,BART Top2_score,BART margin_12,Primary agrees
25,1995,Ferrofluid-cooled electromagnetic device and improved cooling method,37,49,44,0.05142083019018173,0.051419708877801895,1.1213123798370361e-06,50,Review - Survey,46,Heat transfer,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.094), 46 Application - Heat transfer (0.062), 16 Material - Handling of (0.053)",0.09445196390151978,0.06184276565909386,0.03260919824242592,False
317,2008,Adjustable brake device,24,40,47,0.03531358018517494,0.03529641032218933,1.7169862985610962e-05,50,Review - Survey,45,Flow,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.096), 45 Application - Flow (0.067), 38 Application - Using principles of magnetic induction (0.058)",0.09593850374221802,0.06659463047981262,0.029343873262405396,False
42,1987,Bearing assembly with integrated ferrofluid seal,25,26,24,0.04175613075494766,0.04171781614422798,3.8314610719680786e-05,50,Review - Survey,14,Evaluation / Characterization,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.077), 14 Material - Evaluation / Characterization (0.062), 38 Application - Using principles of magnetic induction (0.055)",0.07730162888765335,0.06158924102783203,0.01571238785982132,False
1093,2017,MICROFLUIDIC DEVICE AND METHOD OF MANUFACTURE,49,40,24,0.037275541573762894,0.03722880408167839,4.6737492084503174e-05,50,Review - Survey,12,Formulation,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.087), 12 Material - Formulation (0.056), 16 Material - Handling of (0.055)",0.08719229698181152,0.055836133658885956,0.03135616332292557,False
1107,2022,Low inertia speaker,49,40,24,0.037275541573762894,0.03722880408167839,4.6737492084503174e-05,50,Review - Survey,16,Handling of,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.101), 16 Material - Handling of (0.089), 14 Material - Evaluation / Characterization (0.070)",0.10110878199338913,0.08898752182722092,0.012121260166168213,False
615,2019,Cryogenic Ferrofluid Sealed Rotary Union,40,51,47,0.03380047157406807,0.033752039074897766,4.8432499170303345e-05,50,Review - Survey,46,Heat transfer,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.097), 46 Application - Heat transfer (0.060), 16 Material - Handling of (0.057)",0.097026526927948,0.06044115498661995,0.03658537194132805,False
628,2022,Background defocusing and clearing in ferrofluid-based capture assays,40,51,47,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,50,Review - Survey,16,Handling of,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.081), 16 Material - Handling of (0.065), 45 Application - Flow (0.053)",0.08093774318695068,0.06484268605709076,0.016095057129859924,False
626,2014,Use of ferrofluids for phenotyping blood and related applications,40,51,47,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,14,Evaluation / Characterization,50,Review - Survey,42,Biomedical,"Abstract-only zero-shot classification. Top-3 labels by score: 14 Material - Evaluation / Characterization (0.075), 50 Review - Survey (0.073), 42 Application - Biomedical (0.069)",0.07505002617835999,0.07256308943033218,0.0024869367480278015,False
627,2021,Cooling magnetic cores with ferrofluid and magnetic cores so cooled,40,51,47,0.03381676971912384,0.033757563680410385,5.92060387134552e-05,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.087), 38 Application - Using principles of magnetic induction (0.082), 16 Material - Handling of (0.060)",0.08733239024877548,0.08177240937948227,0.005559980869293213,False
252,2005,Electro-optic assemblies and materials for use therein,47,49,24,0.034596242010593414,0.03453092649579048,6.531551480293274e-05,50,Review - Survey,16,Handling of,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.079), 16 Material - Handling of (0.067), 28 Computation - Stability and other (0.054)",0.07914832979440689,0.0672450140118599,0.011903315782546997,False
1303,2020,DEVICE AND METHOD FOR THE SELECTIVE FRACTIONATION OF ULTRAFINE PARTICLES,40,24,37,0.036374159157276154,0.036305420100688934,6.873905658721924e-05,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.081), 45 Application - Flow (0.074), 16 Material - Handling of (0.061)",0.0807165876030922,0.07434118539094925,0.006375402212142944,False
1299,2021,INDUCTIVE CHARGING ARRANGEMENT FOR A VEHICLE BATTERY,40,24,37,0.036374159157276154,0.036305420100688934,6.873905658721924e-05,38,Using principles of magnetic induction,50,Review - Survey,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.163), 50 Review - Survey (0.060), 45 Application - Flow (0.053)",0.16345342993736267,0.059803903102874756,0.10364952683448792,False
565,2018,Weeping ferrofluid anti-ice system,24,45,26,0.0353817380964756,0.035296570509672165,8.516758680343628e-05,15,"Manipulation, Droplets, other",38,Using principles of magnetic induction,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 15 Material - Manipulation, Droplets, other (0.092), 38 Application - Using principles of magnetic induction (0.090), 50 Review - Survey (0.075)",0.09180200099945068,0.0900217592716217,0.0017802417278289795,False
