Serial Number,Year,Title,Abstract,Primary Major Class,Secondary Major Class,Primary Major Score,Secondary Major Score,margin_12
56,2006,Device of micro vortex for ferrofluid power generator,"A ferrofluid power generator with micro vortex generator is disclosed, which is capable of generating an induced current by enabling a ferrofluid having a plurality of magnetic particles to flow in a closed circuit, the device comprising a vortex generator and a induced current unit. The vortex generator further comprises a first inlet, a first outlet and a plurality of cavities, which is capable of accelerating the rotation speed of the magnetic particles by virtue of employing the plural cavities to enable the magnetic particles to rotate while the ferrofluid passing through the plural cavities. The induced current unit is substantially a tube having a second inlet and a second outlet, where the second inlet is coupled to the first outlet of the vortex generator for accepting the ferrofluid with rotating magnetic particles to flow therein and through so as to induce a change of magnetic flux to occur and generate an induced current accordingly.",2,3,0.22499512135982513,0.2249900847673416,5.036592483520508e-06
58,2006,Device of micro vortex for ferrofluid power generator,"A ferrofluid power generator with micro vortex generator is disclosed, which is capable of generating an induced current by enabling a ferrofluid having a plurality of magnetic particles to flow in a closed circuit, the device comprising a vortex generator and a induced current unit. The vortex generator further comprises a first inlet, a first outlet and a plurality of cavities, which is capable of accelerating the rotation speed of the magnetic particles by virtue of employing the plural cavities to enable the magnetic particles to rotate while the ferrofluid passing through the plural cavities. The induced current unit is substantially a tube having a second inlet and a second outlet, where the second inlet is coupled to the first outlet of the vortex generator for accepting the ferrofluid with rotating magnetic particles to flow therein and through so as to induce a change of magnetic flux to occur and generate an induced current accordingly.",2,3,0.22499531507492065,0.22499027848243713,5.036592483520508e-06
90,1988,Low friction ferrofluid bearing arrangement,"A low friction bearing arrangement includes first and second poles of magnetically permeable material which define first and second pole surfaces which are spaced apart. The first and second poles also define first and second side surfaces, respectively, which are aligned. A quantity of ferrofluid, positioned intermediate the first and second pole surfaces and adjacent the first and second side surfaces, is held by means of a fringing magnetic flux between the first and second side surfaces at a level which extends beyond the side surfaces. A rotatable shaft of nonmagnetic material is supported on the quantity of ferrofluid and is held out of contact with the side surfaces thereby, such that the shaft may be freely rotated.",2,1,0.28593769669532776,0.2859257757663727,1.1920928955078125e-05
941,2017,DEVICES AND METHODS FOR SEPARATING PARTICLES,"Devices for non-invasive, label-free separation of particles in liquid, including circulating tumors cells in blood, are provided. Embodiments of the disclosure provide for devices employing magnetic fluids and magnets for separation of circulating tumor cells from blood. Methods for separation of particles including circulating tumor cells are also provided.",5,4,0.21394716203212738,0.21392720937728882,1.9952654838562012e-05
343,1987,Ferro-fluid bearing,"A bearing having a cylindrical bore and a shaft in the bore with ferrofluid between the shaft and the bore walls. The cylindrical bearing is made of ferromagnetic material, and it is magnetized with its internal magnetization radially directed relative to the axis of the bore. Also pertains to a method for making and magnetizing the bearing.",4,5,0.20160098373889923,0.20157542824745178,2.555549144744873e-05
396,2007,"Magnetic mounting of a rotor shaft relative to a stator, using a high-Tc superconductor","A first bearing part is arranged fixedly in terms of rotation on a rotor shaft with permanent magnetic elements arranged next to one another and flux guide elements arranged between them. A second bearing part, separated from the first bearing part by a bearing gap, is provided on the stator and has a structure formed of superconductive high-T<SUB>c </SUB>material. The bearing gap is sealed against penetration of ambient air, but allows movement of the first bearing part with respect to the second bearing part while maintaining the seal.",4,5,0.20160101354122162,0.20157527923583984,2.5734305381774902e-05
40,1982,Ferrofluid rotary-shaft seal apparatus and method,"A ferrofluid rotary-shaft seal apparatus of extended seal life particularly adapted for use as an exclusion seal with a computer-disc-drive spindle, which seal apparatus comprises: an annular permanent magnet; first and second pole pieces, one end of each pole piece extending into a close, noncontacting relationship with the surface of the shaft, to form a gap width between the one end of the pole piece and the surface of the shaft; and ferrofluid in the gap widths to form a ferrofluid O-ring seal, whereby, in operation, the ferrofluid, under the thinner pole piece, evaporates and forms an air gap, while the ferrofluid at the wider gap width provides extended seal life.",1,3,0.24197010695934296,0.2417629361152649,0.00020717084407806396
322,1992,BEARING FOR USE IN HIGH RESOLUTION PRECISION CONTROL DEVICE,"A magnetic bearing is provided which may be utilized in a fine position control or movement system. Stability is enhanced by providing separate mechanisms for supporting the weight of a platen or other object being controlled with electromagnets utilized to control or compensate for motion of the platen in N degrees of freedom. The support mechanism is preferably one or more permanent magnets having an air gap with the platen which is greater than the air gap for the electromagnets. The mechanisms for supporting the weight of the platen may be made adjustable so as to support the weight of the platen regardless of any changes in such weight by, for example, adjusting the air gap for the permanent magnet to compensate for weight changes. Resonant vibration is reduced by constructing the platen of a hollowed, cellular structure, for example, a honeycomb structure.",2,3,0.22286735475063324,0.2225985825061798,0.0002687722444534302
400,2005,Spinning concentrator enhanced solar energy alternating current production,"Due to an ever growing shortage of conventional energy sources, there is an increasingly intense interest in harnessing solar energy. This invention deals with method and apparatus for the direct conversion of solar energy to alternating current power by an active spinning mini-optics system. A limiting factor in the utilization of solar energy in the past has been the high cost of power conversion from dc to ac. By directly producing alternating current power, this invention substantially reduces the cost of generating photovoltaic electricity. This system utilizes a dynamic spinning ensemble of mini-mirrors to both concentrate and modulate rays from the sun onto a photovoltaic collector array. The focusing with superimposed spinning action produces single phase and multiphase alternating current (ac) with substantially higher power output than the direct current (dc) power resulting from the direct incidence of sunlight on the photovoltaic collector.",2,3,0.22286735475063324,0.2225985825061798,0.0002687722444534302
862,2020,Tracking a cylindrical opening,"A system comprising: a sensor configured to be introduced into a clearance hole of a surgical implant, wherein the sensor is configured to be introduced in proximity to a generated magnetic field and cause distortion of the magnetic field; and one or more field measuring coils configured to: measure a characteristic of the magnetic field when the sensor is in proximity to the magnetic field; and provide, to a computing device, a signal representative of the measured characteristic of the magnetic field, wherein the computing device is configured to determine one or both of a position and an orientation of the sensor and the clearance hole based on the measured characteristic of the magnetic field.",3,5,0.20423513650894165,0.2039114236831665,0.0003237128257751465
