Serial Number,Year,Title,Abstract,Primary Major Class,Secondary Major Class,Primary Major Score,Secondary Major Score,margin_12
1403,2015,First order chemical reaction effects on exponentially accelerated isothermal vertical plate with variable mass diffusion in the presence of radiation,"Closed form solution of thermal radiation effects on, unsteady free convective flow of a viscous incompressible fluid, past an exponentially accelerted infinite isothermal vertical plate with variable mass diffusion, in the presence of homogeneous chemical reaction of first order has been considered. The plate temperature is increased and the concentration level near the plate is raised lineraly with time. An exact solution to the dimensionless governing equations are solved by the Laplace transform method, when the plate is exponentially accelerated in its own plane against the gravitational field. The effects of velocity, temperature and concentration are studied for different physical parameters like thermal radiation parameter, chemical reaction parameter, Schmidt number, thermal Grashof number, mass Grashof number and time. It is observed that the velocity increases with decreasing values of the chemical reaction parameter or radiation parameter. But the trend is just reversed with respect to parameter time. The governing equations together with magnetohydodynamic equations are used to focus on the study of ferrofluids, interaction between fluid particles in the bloodstream and external magnetic field, which has great importance in cancer research in developing methods for delivery of medicine in affected areas.",3,2,0.3711099624633789,0.371094286441803,1.5676021575927734e-05
1326,2016,Magneto-optic effects in ferrofluids,"Ferrofluids are stable colloidal suspensions of superparamagnetic nanoparticles in a carrier liquid. The ordering and phase transitions of these polarizable media under the effect of an externally applied dc magnetic field are accompanied by a number of magneto-optic effects. Light scattering, in particular, has been used in studies investigating the kinematics of the field-induced self-assembly of nanoparticles in chain-like structures. In previous reports we discussed the correlation between the time-dependent light-scattering patterns and the creation of such field-induced ordered structures of nanoparticles in the ferrofluid. This present work is the first reported systematic study of the morphing of the light scattering patterns with the thickness of the ferrofluid layer (0.1 mm to 10 mm) and with temperature, in ferrofluids consisting of water suspensions of dextran-coated iron oxide nanoparticles. In particular we discuss the origin and angular dependence of an elliptical pattern produced by light scattered through thin layers (<1 mm) of ferrofluids and contrast it with the patterns produced by longer light paths (10 mm) through the ferrofluid. © 2016 IEEE.",2,1,0.2536456882953644,0.25361189246177673,3.3795833587646484e-05
707,2020,Exploring magnetic properties and antimicrobial activities of Co0.4Fe2.6O4ferrofluids using olive oil as dispersant agent,"This research explored the magnetic properties and the antimicrobial activities of Co0.4Fe2.6O4 ferrofluids dispersed in olive oil. The Co0.4Fe2.6O4 nanoparticles were synthesized through the coprecipitation method, and their structure and morphology were characterized as a preliminary study. The Co0.4Fe2.6O4 nanoparticles possessed a lattice parameter of 8.337 Å and crystallite size of 9.89 nm. The morphology of the nanoparticles tended to agglomerate with a dominant particle size distribution of 41.3 nm. The functional groups of the Co0.4Fe2.6O4 ferrofluids showed decent bonding between fillers and surfactants. The magnetic properties of the Co0.4Fe2.6O4 ferrofluids showed a less smooth hysteresis curve and a decrease in the value of the magnetic parameters if compared to the nanoparticles. The antimicrobial activities of Co0.4Fe2.6O4 ferrofluids indicated good results and could be suggested to be applied as biomedical materials.  © 2020 Author(s).",2,1,0.2116616815328598,0.21162082254886627,4.0858983993530273e-05
680,2021,Colloidal Stability and Concentration Effects on Nanoparticle Heat Delivery for Magnetic Fluid Hyperthermia,"The heat produced by magnetic nanoparticles, when they are submitted to a time-varying magnetic field, has been used in many auspicious biotechnological applications. In the search for better performance in terms of the specific power absorption (SPA) index, researchers have studied the influence of the chemical composition, size and dispersion, shape, and exchange stiffness in morphochemical structures. Monodisperse assemblies of magnetic nanoparticles have been produced using elaborate synthetic procedures, where the product is generally dispersed in organic solvents. However, the colloidal stability of these rough dispersions has not received much attention in these studies, hampering experimental determination of the SPA. To investigate the influence of colloidal stability on the heating response of ferrofluids, we produced bimagnetic core@shell NPs chemically composed of a ZnMn mixed ferrite core covered by a maghemite shell. Aqueous ferrofluids were prepared with these samples using the electric double layer (EDL) as a strategy to maintain colloidal stability. By starting from a proper sample, ultrastable concentrated ferrofluids were achieved by both tuning the ion/counterion ratio and controlling the water content. As the colloidal stability mainly depends on the ion configuration on the surface of the magnetic nanoparticles, different levels of nanoparticle clustering are achieved by changing the ionic force and pH of the medium. Thus, the samples were submitted to two procedures of EDL destabilization, which involved dilution with an alkaline solution and a neutral pH viscous medium. The SPA results of all prepared ferrofluid samples show a reduction of up to half the efficiency of the standard sample when the ferrofluids are in a neutral pH or concentrated regime. Such results are explained in terms of magnetic dipolar interactions. Our results point to the importance of ferrofluid colloidal stability in a more reliable experimental determination of the NP heat generation performance.  © 2021 American Chemical Society. All rights reserved.",4,2,0.3014806807041168,0.3013766407966614,0.00010403990745544434
1908,2012,Manganese iron oxide superparamagnetic powder by mechanochemical processing. Nanoparticles functionalization and dispersion in a nanofluid,"Manganese ferrite nanoparticles were synthesized using a High-Energy Ball-Milling mechanochemical method. After 1 h of milling, the process produces a material consisting of single crystalline domain nanoparticles having a diameter of about 8 nm. Chemical properties of the synthesized powders allow an easy functionalization with citric acid. Both as-obtained and functionalized samples show superparamagnetic behaviour at room temperature, and the functionalized powder is stably dispersible in aqueous media at physiological pH. The average hydrodynamic diameter is equal to ∼60 nm. Nanoparticles obtained by the reported High-Energy Ball-Milling method can be synthesized with high yield and low costs and can be successfully utilized in ferrofluids development for biomedical applications. © 2012 Springer Science+Business Media B.V.",5,3,0.2163168340921402,0.2162126898765564,0.00010414421558380127
2370,2008,Preparation and properties of water-based magnetic fluids,"Stable suspensions of superparamagnetic iron oxide nanoparticles in water (water-based ferrofluids) were prepared using citric acid (CA) as a surfactant. The influences of different factors on the amount of nanoparticles in a stable suspension were systematically studied. These factors, including the temperature, the pH value and the concentration of CA applied during the adsorption of the CA onto the nanoparticles and during their suspension in water, were evaluated. The highest content of nanoparticles in a stable suspension was obtained when the CA was absorbed at pH values of around 5.2, where two carboxyl groups are dissociated, and when the nanoparticles were suspended at a pH of around 10, where all three carboxyl groups of the CA are in a dissociated state. © 2008 IOP Publishing Ltd.",3,2,0.2016495317220688,0.20152108371257782,0.0001284480094909668
1007,2018,On hydrodynamic lubrication characteristics of ferrofluid film in a spiral groove mechanical seal,"Purpose: The purpose of this study is to investigate the hydrodynamic lubrication characteristics of ferrofluid film for spiral groove mechanical seal in external electromagnetic field and to analyze the effects of the volume fraction of ferrofluid, parameters of the electromagnetic field, operating parameters and geometrical parameters of mechanical seal on the characteristics of ferrofluid film. Design/methodology/approach: The relationship between the ferrofluid viscosity and the intensity of external electromagnetic field was established. Based on the Muijderman narrow groove theory, the pressure distribution was calculated with the trial method by trapezoid formula. Findings: It was found that pressure, average viscosity, average density and opening force of ferrofluid between end faces increase with the increase in intensity of current, volume fraction of ferrofluid, rotating speed, pressure differential and spiral angle; decrease with the increase in temperature; and increase at first and then decrease with the increase in the ratio of groove width to weir and the groove length. All of them reach the maximum value when the ratio of width of groove to weir is 0.7 and the ratio of groove length is 0.6. Leakage of ferrofluid increases with an increase in intensity of current, volume fraction of ferrofluid, rotating speed, pressure differential, spiral angle and ratio of groove length; decreases with an increase in temperature; and increases at first and then decreases with the increase in the ratio of groove width to weir. The tendencies of characteristics of silicone oil are consistent with those of ferrofluid, and the characteristics of silicone oil are smaller than those of ferrofluid under the same condition. Originality/value: The volume fraction of ferrofluid, rotating speed, spiral angle, ratio of groove width to weir, groove length and temperature have a significant influence on the characteristics of ferrofluid film; however, intensity of current and the pressure differential have slight influence on the characteristics of ferrofluid film. An analytical method for analyzing hydrodynamic lubrication characteristics of ferrofluid film in a spiral groove mechanical seal was proposed based on the Muijderman narrow groove theory. © 2018, Emerald Publishing Limited.",5,3,0.21941569447517395,0.21928441524505615,0.00013127923011779785
1104,2017,A density and viscosity sensor utilizing a levitated sphere,"We present a measurement system where a spherical permanent magnet is levitated in an actively controlled magnetic field. The sensor system measuring viscosity and density independently. In operation mode, the magnet is held in a constant levitation position. Due to a special actuation scheme, the magnet rotates around its vertical axis. Using this setup and immersing the magnet in a fluid, it is possible to analyze viscosity and density of all kinds of fluids, except ferrofluids. The magnetic levitation system avoids any connection penetrating the walls of the measurement chamber; only the spherical permanent magnet measurement body is in contact with the sample fluid. Due to this, the measurement procedure is reproducible, repeatable and resource saving. © 2017 IEEE.",2,4,0.20576123893260956,0.20559783279895782,0.0001634061336517334
2322,2008,Hydrodynamic modelling and CFD simulation of ferrofluids flow in magnetic targeting drug delivery,"Magnetic targeting drug delivery is a method of carrying drug-loaded magnetic nanoparticles to a tissue target in the human body under the applied magnetic field. This method increases the drug concentration in the target and reduces the adverse side-effects. In this article, a mathematical model is presented to describe the hydrodynamics of ferrofluids as drug carriers flowing in a blood vessel under the applied magnetic field. Numerical simulations are performed to obtain better insight into the theoretical analysis with computational fluid dynamics. A 3D flow field of magnetic particles in an idealised blood vessel model containing an aneurysm is analysed to further understand clinical application of magnetic targeting drug delivery. Simulation samples demonstrate the important parameters leading to adequate drug delivery to the target site depending on the applied magnetic field in coincidence with reported results from animal experiments. Results of the analysis provide the important information and can suggest strategies for improving delivery in favour of the clinical application.",3,2,0.4057615399360657,0.40559470653533936,0.00016683340072631836
2444,2007,Preparation and characterization of magnetic PVC nanocomposites,"A new method was developed in order to achieve an excellent dispersion of magnetite onto a polymer matrix. For that a ferrofluid was prepared containing nanometric size (15 nm) magnetite and di-octyl phthalate (PVC plasticizer), this ferrofluid was dispersed in a polyvinyl chloride (PVC) plastisol and magnetic PVC films were made by static casting from plastisols and ferrofluids based on magnetite. Flexible films were characterized by vibration sample magnetometry, and stress-strain testing; rheometry was used to characterize the ferrofluid and the (PVC) plastisols containing ferrofluid (inverse ferrofluid). The effect of magnetite content on the magnetic and mechanical properties of the films was studied and showed an increase on magnetization values with magnetic loading and a variation in the stress-strain with magnetic loading as function of magnetic load content. It was found that the inverse ferrofluid showed a Bingham fluid behavior. © 2007 Elsevier B.V. All rights reserved.",3,2,0.2594912350177765,0.2593208849430084,0.0001703500747680664
